"Checking availability","Sjekker tilgjengelighet"
"Please select your company before paying with %1.","Velg selskapet ditt før du betaler med %1."
"Company search","Selskapssøk"
"Whether the company-search control is offered to buyers at checkout.","Om selskapssøket tilbys kjøpere i kassen."
"Shown at checkout","Vises i kassen"
"Not shown at checkout","Vises ikke i kassen"
"no API key is saved. Check API key.","ingen API-nøkkel er lagret. Kontroller API-nøkkel."
"the API key was rejected. Check API key and Environment.","API-nøkkelen ble avvist. Kontroller API-nøkkel og Miljø."
"Shown in the payment method — Enable company search in address entry is No.","Vises i betalingsmåten — Aktiver selskapssøk i adresseinntasting er Nei."
"Could not update payment term. Please try again.","Kunne ikke oppdatere betalingsvilkåret. Prøv igjen."
"Opening sole trader sign-up","Åpner registrering for enkeltpersonforetak"
"The selected payment term is no longer available. Please review the payment options and place the order again.","Det valgte betalingsvilkåret er ikke lenger tilgjengelig. Gå gjennom betalingsalternativene og legg inn ordren på nytt."
"This order by %1 (%2) is likely to be accepted by %3","Denne ordren fra %1 (%2) vil sannsynligvis bli akseptert av %3"
