"Checking availability","Kontrollerar tillgänglighet"
"Please select your company before paying with %1.","Välj ditt företag innan du betalar med %1."
"Company search","Företagssökning"
"Whether the company-search control is offered to buyers at checkout.","Om företagssökningen erbjuds köpare i kassan."
"Shown at checkout","Visas i kassan"
"Not shown at checkout","Visas inte i kassan"
"no API key is saved. Check API key.","ingen API-nyckel är sparad. Kontrollera API-nyckel."
"the API key was rejected. Check API key and Environment.","API-nyckeln avvisades. Kontrollera API-nyckel och Miljö."
"Shown in the payment method — Enable company search in address entry is No.","Visas i betalningsmetoden — Aktivera företagssökning i adressinmatning är Nej."
"Could not update payment term. Please try again.","Kunde inte uppdatera betalningsvillkoret. Försök igen."
"Opening sole trader sign-up","Öppnar registrering för enskild näringsidkare"
"The selected payment term is no longer available. Please review the payment options and place the order again.","Det valda betalningsvillkoret är inte längre tillgängligt. Gå igenom betalningsalternativen och lägg ordern igen."
"This order by %1 (%2) is likely to be accepted by %3","Denna order från %1 (%2) kommer sannolikt att accepteras av %3"
